iter	MultiClass
0	1.301233065
1	1.234966136
2	1.168134169
3	1.109989888
4	1.059338967
5	1.022400226
6	0.9880004585
7	0.9545061798
8	0.9274504366
9	0.8998052837
10	0.87589274
11	0.8558312698
12	0.8383381049
13	0.8210089318
14	0.8058450639
15	0.7928466891
16	0.7816810257
17	0.7702205106
18	0.7611426963
19	0.752582325
20	0.7444814798
21	0.7375588936
22	0.7316671544
23	0.7262049636
24	0.720354465
25	0.7151055122
26	0.7107834906
27	0.7067837914
28	0.7036170026
29	0.7000800537
30	0.6971565625
31	0.6938756111
32	0.6910383515
33	0.6882599336
34	0.6853780196
35	0.6831769137
36	0.681147596
37	0.6793086601
38	0.6772363639
39	0.6752536388
40	0.6739215033
41	0.6724838594
42	0.6711826819
43	0.6695492157
44	0.668348266
45	0.6676509709
46	0.666399556
47	0.6652920307
48	0.6638586049
49	0.6629407799
50	0.6616798156
51	0.6607007148
52	0.6590664169
53	0.6582691814
54	0.6563102131
55	0.6549844736
56	0.6539343277
57	0.6530980472
58	0.6524364162
59	0.6518821417
60	0.651293051
61	0.6509341205
62	0.6504834301
63	0.6496898361
64	0.648599284
65	0.6477920853
66	0.647079404
67	0.6462929397
68	0.6457361653
69	0.6449681083
70	0.644175719
71	0.6437486734
72	0.6432580872
73	0.6425635843
74	0.641784051
75	0.6412675762
76	0.6406048209
77	0.6399511541
78	0.6390922137
79	0.6383291204
80	0.6376552996
81	0.6372153297
82	0.6362983503
83	0.6362485558
84	0.6352050423
85	0.6342946998
86	0.6336438311
87	0.632779395
88	0.632249889
89	0.631396005
90	0.6305766024
91	0.6300585756
92	0.6294950163
93	0.6287257785
94	0.6285373708
95	0.6280820291
96	0.6276282308
97	0.6270246642
98	0.6267483651
99	0.6264110146
100	0.6259647802
101	0.6256741871
102	0.6250204218
103	0.6244712204
104	0.6240413466
105	0.6234515903
106	0.6227995835
107	0.6216165572
108	0.6204341221
109	0.619512525
110	0.6189807023
111	0.6182642566
112	0.617820844
113	0.6172080149
114	0.6165176671
115	0.6159900016
116	0.6149722795
117	0.614200918
118	0.6131767543
119	0.6126818625
120	0.6120005148
121	0.6109038647
122	0.6100119658
123	0.6089357747
124	0.6082070501
125	0.6074051915
126	0.607126527
127	0.6063868536
128	0.6059019971
129	0.6052174721
130	0.6043038737
131	0.6034353184
132	0.6030802495
133	0.6025826554
134	0.6017548736
135	0.6011880212
136	0.6004395551
137	0.5999763342
138	0.5995745499
139	0.5987698566
140	0.5980747757
141	0.5974244231
142	0.5968217143
143	0.596321048
144	0.5956421682
145	0.5952376175
146	0.5948735292
147	0.5939839924
148	0.5934495261
149	0.5931741674
150	0.5925403584
151	0.5914437537
152	0.5908336685
153	0.5903946617
154	0.5898299269
155	0.5893721183
156	0.588684552
157	0.5883743739
158	0.5878209748
159	0.5868671107
160	0.5862650917
161	0.5859865183
162	0.5851484753
163	0.5843317567
164	0.5837293048
165	0.5831205179
166	0.5824480197
167	0.5820309903
168	0.5813292397
169	0.580272365
170	0.5797387677
171	0.5790186289
172	0.5784203989
173	0.5775910196
174	0.5770237161
175	0.5762761773
176	0.5757763649
177	0.5753623982
178	0.5745314555
179	0.5738404814
180	0.5735370029
181	0.5730882842
182	0.572357494
183	0.5719498303
184	0.5714384855
185	0.5709022915
186	0.570268501
187	0.569829208
188	0.5692676035
189	0.5686594855
190	0.5680792571
191	0.5672640446
192	0.566589469
193	0.5663388184
194	0.5658370721
195	0.5651082874
196	0.5647457053
197	0.5642022203
198	0.5632412509
199	0.5625958764
200	0.5619191618
