event,date,favourite,favourite_odds,underdog,underdog_odds,result
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Jon Jones,1.13,Chael Sonnen,9.0,Favourite
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Michael Bisping,1.57,Alan Belcher,4.5,Favourite
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Roy Nelson,1.43,Cheick Kongo,3.2,Favourite
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Phil Davis,1.36,Vinny Magalhaes,3.55,Favourite
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Jim Miller,1.4,Pat Healy,3.4,Underdog
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Rustam Khabilov,1.54,Yancy Medeiros,3.4,Favourite
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Ovince St Preux,1.69,Gian Villante,2.4,Favourite
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Sara McMann,1.18,Sheila Gaff,5.8,Favourite
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Johnny Bedford,1.91,Bryan Caraway,2.15,Underdog
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Leonard Garcia,1.53,Cody McKenzie,2.93,Underdog
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Steven Siler,1.95,Kurt Holobaugh,2.06,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Vitor Belfort,1.95,Luke Rockhold,2.04,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Ronaldo Souza,1.17,Chris Camozzi,6.0,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Rafael dos Anjos,1.5,Evan Dunham,2.91,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Rafael Natal,1.36,Joao Zeferino,3.7,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Nik Lentz,1.99,Hacran Dias,2.1,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Francisco Trinaldo,1.33,Mike Rio,3.9,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Gleison Tibau,1.42,John Cholish,3.35,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Paulo Thiago,1.57,Michel Prazeres,2.76,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Yuri Alcantara,1.2,Iliarde Santos,5.5,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Fabio Maldonado,1.38,Roger Hollett,3.45,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Azamat Gashimov,1.87,John Lineker,2.1,Underdog
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Jussier Formiga,1.65,Chris Cariaso,2.55,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Lucas Martins,1.33,Jeremy Larsen,3.85,Favourite
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Cain Velasquez,1.16,Antonio Silva,6.75,Favourite
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Junior dos Santos,1.25,Mark Hunt,5.25,Favourite
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Glover Teixeira,1.33,James Te Huna,4.75,Favourite
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Gray Maynard,1.74,T.J. Grant,2.65,Underdog
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Donald Cerrone,1.37,K.J. Noons,3.48,Favourite
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Rick Story,1.67,Mike Pyle,2.5,Underdog
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Dennis Bermudez,1.4,Max Holloway,3.65,Favourite
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Colton Smith,1.71,Robert Whittaker,2.75,Underdog
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Khabib Nurmagomedov,1.4,Abel Trujillo,3.75,Favourite
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Stephen Thompson,1.63,Nah-Shon Burrell,2.65,Favourite
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Brian Bowles,1.36,George Roop,3.66,Underdog
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Jeremy Stephens,1.6,Estevan Payan,2.9,Favourite
UFC on Fox 8 - Johnson vs. Moraga,27th Jul 2013,Demetrious Johnson,1.25,John Moraga,4.75,Favourite
UFC on Fox 8 - Johnson vs. Moraga,27th Jul 2013,Rory MacDonald,1.43,Jake Ellenberger,3.14,Favourite
UFC on Fox 8 - Johnson vs. Moraga,27th Jul 2013,Robbie Lawler,1.29,Bobby Voelker,4.15,Favourite
UFC on Fox 8 - Johnson vs. Moraga,27th Jul 2013,Liz Carmouche,1.2,Jessica Andrade,5.75,Favourite
UFC on Fox 8 - Johnson vs. Moraga,27th Jul 2013,Jorge Masvidal,1.4,Michael Chiesa,3.55,Favourite
UFC on Fox 8 - Johnson vs. Moraga,27th Jul 2013,Danny Castillo,1.5,Tim Means,3.45,Favourite
UFC on Fox 8 - Johnson vs. Moraga,27th Jul 2013,Melvin Guillard,1.91,Mac Danzig,2.45,Favourite
UFC on Fox 8 - Johnson vs. Moraga,27th Jul 2013,Daron Cruickshank,1.67,Yves Edwards,2.75,Favourite
UFC on Fox 8 - Johnson vs. Moraga,27th Jul 2013,Ed Herman,1.57,Trevor Smith,3.0,Favourite
UFC on Fox 8 - Johnson vs. Moraga,27th Jul 2013,Germaine de Randamie,1.63,Julie Kedzie,2.7,Favourite
UFC on Fox 8 - Johnson vs. Moraga,27th Jul 2013,Justin Salas,1.45,Aaron Riley,3.2,Favourite
UFC on Fox 8 - Johnson vs. Moraga,27th Jul 2013,John Albert,1.47,Yaotzin Meza,3.3,Underdog
UFC 163 - Aldo vs. Korean Zombie,3rd Aug 2013,Jose Aldo,1.15,Chan Sung Jung,8.05,Favourite
UFC 163 - Aldo vs. Korean Zombie,3rd Aug 2013,Phil Davis,1.4,Lyoto Machida,4.05,Favourite
UFC 163 - Aldo vs. Korean Zombie,3rd Aug 2013,Cezar Ferreira,1.22,Thiago Santos,5.1,Favourite
UFC 163 - Aldo vs. Korean Zombie,3rd Aug 2013,Thales Leites,1.69,Tom Watson,2.5,Favourite
UFC 163 - Aldo vs. Korean Zombie,3rd Aug 2013,John Lineker,1.27,Jose Maria Tome,4.55,Favourite
UFC 163 - Aldo vs. Korean Zombie,3rd Aug 2013,Vinny Magalhaes,1.22,Anthony Perosh,5.35,Underdog
UFC 163 - Aldo vs. Korean Zombie,3rd Aug 2013,Amanda Nunes,1.51,Sheila Gaff,3.0,Favourite
UFC 163 - Aldo vs. Korean Zombie,3rd Aug 2013,Sergio Moraes,1.72,Neil Magny,2.51,Favourite
UFC 163 - Aldo vs. Korean Zombie,3rd Aug 2013,Ian McCall,1.22,Iliarde Santos,5.05,Favourite
UFC 163 - Aldo vs. Korean Zombie,3rd Aug 2013,Rani Yahya,1.13,Josh Clopton,9.17,Favourite
UFC 163 - Aldo vs. Korean Zombie,3rd Aug 2013,Ednaldo Oliveira,1.83,Francimar Barroso,2.4,Underdog
UFC 163 - Aldo vs. Korean Zombie,3rd Aug 2013,Viscardi Andrade,1.57,Bristol Marunde,2.77,Favourite
UFC Fight Night 26 - Shogun vs. Sonnen,17th Aug 2013,Mauricio Rua,1.67,Chael Sonnen,2.55,Underdog
UFC Fight Night 26 - Shogun vs. Sonnen,17th Aug 2013,Alistair Overeem,1.67,Travis Browne,2.7,Underdog
UFC Fight Night 26 - Shogun vs. Sonnen,17th Aug 2013,Urijah Faber,1.47,Yuri Alcantara,3.05,Favourite
UFC Fight Night 26 - Shogun vs. Sonnen,17th Aug 2013,Matt Brown,1.8,Mike Pyle,2.3,Favourite
UFC Fight Night 26 - Shogun vs. Sonnen,17th Aug 2013,Urijah Hall,1.22,John Howard,5.2,Underdog
UFC Fight Night 26 - Shogun vs. Sonnen,17th Aug 2013,Joe Lauzon,1.42,Michael Johnson,3.6,Underdog
UFC Fight Night 26 - Shogun vs. Sonnen,17th Aug 2013,Michael McDonald,1.33,Brad Pickett,4.05,Favourite
UFC Fight Night 26 - Shogun vs. Sonnen,17th Aug 2013,Conor McGregor,1.42,Max Holloway,3.85,Favourite
UFC Fight Night 26 - Shogun vs. Sonnen,17th Aug 2013,Mike Brown,1.5,Steven Siler,2.9,Underdog
UFC Fight Night 26 - Shogun vs. Sonnen,17th Aug 2013,Diego Brandao,1.57,Daniel Pineda,3.0,Favourite
UFC Fight Night 26 - Shogun vs. Sonnen,17th Aug 2013,Manny Gamburyan,1.8,Cole Miller,2.31,Favourite
UFC Fight Night 26 - Shogun vs. Sonnen,17th Aug 2013,Ovince St Preux,1.31,Cody Donovan,4.63,Favourite
UFC Fight Night 26 - Shogun vs. Sonnen,17th Aug 2013,Ramsey Nijem,1.57,James Vick,2.75,Underdog
UFC 167 - St. Pierre vs. Hendricks,16th Nov 2013,Georges St. Pierre,1.54,Johny Hendricks,2.85,Favourite
UFC 167 - St. Pierre vs. Hendricks,16th Nov 2013,Rashad Evans,1.5,Chael Sonnen,3.2,Favourite
UFC 167 - St. Pierre vs. Hendricks,16th Nov 2013,Rory MacDonald,1.26,Robbie Lawler,4.65,Underdog
UFC 167 - St. Pierre vs. Hendricks,16th Nov 2013,Tyron Woodley,1.95,Josh Koscheck,2.3,Favourite
UFC 167 - St. Pierre vs. Hendricks,16th Nov 2013,Tim Elliott,1.67,Ali Bagautinov,2.5,Underdog
UFC 167 - St. Pierre vs. Hendricks,16th Nov 2013,Donald Cerrone,1.87,Evan Dunham,2.15,Favourite
UFC 167 - St. Pierre vs. Hendricks,16th Nov 2013,Thales Leites,1.61,Ed Herman,2.71,Favourite
UFC 167 - St. Pierre vs. Hendricks,16th Nov 2013,Rick Story,1.49,Brian Ebersole,3.01,Favourite
UFC 167 - St. Pierre vs. Hendricks,16th Nov 2013,Erik Perez,1.24,Edwin Figueroa,4.78,Favourite
UFC 167 - St. Pierre vs. Hendricks,16th Nov 2013,Jason High,1.32,Anthony Lapsley,3.9,Favourite
UFC 167 - St. Pierre vs. Hendricks,16th Nov 2013,Sergio Pettis,1.26,Will Campuzano,4.55,Favourite
UFC 167 - St. Pierre vs. Hendricks,16th Nov 2013,Gian Villante,1.31,Cody Donovan,4.1,Favourite
UFC - The Ultimate Fighter 18 Finale,30th Nov 2013,Gray Maynard,1.83,Nate Diaz,2.14,Underdog
UFC - The Ultimate Fighter 18 Finale,30th Nov 2013,Julianna Pena,1.36,Jessica Rakoczy,3.6,Favourite
UFC - The Ultimate Fighter 18 Finale,30th Nov 2013,Chris Holdsworth,1.5,Davey Grant,2.95,Favourite
UFC - The Ultimate Fighter 18 Finale,30th Nov 2013,Jessamyn Duke,1.43,Peggy Morgan,3.25,Favourite
UFC - The Ultimate Fighter 18 Finale,30th Nov 2013,Raquel Pennington,1.26,Roxanne Modafferi,5.16,Favourite
UFC - The Ultimate Fighter 18 Finale,30th Nov 2013,Maximo Blanco,1.55,Akira Corassani,2.77,Underdog
UFC - The Ultimate Fighter 18 Finale,30th Nov 2013,Rani Yahya,1.95,Tom Niinimaki,2.0,Underdog
UFC - The Ultimate Fighter 18 Finale,30th Nov 2013,Jared Rosholt,1.45,Walt Harris,3.5,Favourite
UFC - The Ultimate Fighter 18 Finale,30th Nov 2013,Sean Spencer,1.45,Drew Dober,3.1,Favourite
UFC - The Ultimate Fighter 18 Finale,30th Nov 2013,Josh Sampo,1.87,Ryan Benoit,2.05,Favourite
UFC Fight Night 33 - Hunt vs. Bigfoot,7th Dec 2013,Antonio Silva,1.71,Mark Hunt,2.7,Draw
UFC Fight Night 33 - Hunt vs. Bigfoot,7th Dec 2013,James Te Huna,1.75,Mauricio Rua,2.4,Underdog
UFC Fight Night 33 - Hunt vs. Bigfoot,7th Dec 2013,Ryan Bader,1.21,Anthony Perosh,5.65,Favourite
UFC Fight Night 33 - Hunt vs. Bigfoot,7th Dec 2013,Pat Barry,1.59,Soa Palelei,2.6,Underdog
UFC Fight Night 33 - Hunt vs. Bigfoot,7th Dec 2013,Dylan Andrews,1.74,Clint Hester,2.3,Underdog
UFC Fight Night 33 - Hunt vs. Bigfoot,7th Dec 2013,Julie Kedzie,1.61,Bethe Correia,2.6,Underdog
UFC Fight Night 33 - Hunt vs. Bigfoot,7th Dec 2013,Takeya Mizugaki,1.33,Nam Phan,4.0,Favourite
UFC Fight Night 33 - Hunt vs. Bigfoot,7th Dec 2013,Nick Ring,1.57,Caio Magalhaes,2.85,Underdog
UFC Fight Night 33 - Hunt vs. Bigfoot,7th Dec 2013,Justin Scoggins,1.3,Richie Vaculik,4.1,Favourite
UFC Fight Night 33 - Hunt vs. Bigfoot,7th Dec 2013,Bruno Santos,1.45,Krzysztof Jotko,3.15,Underdog
UFC Fight Night 33 - Hunt vs. Bigfoot,7th Dec 2013,Alex Garcia,1.16,Ben Wall,6.55,Favourite
UFC 168 - Weidman vs. Silva 2,28th Dec 2013,Anderson Silva,1.58,Chris Weidman,2.75,Underdog
UFC 168 - Weidman vs. Silva 2,28th Dec 2013,Ronda Rousey,1.17,Miesha Tate,6.55,Favourite
UFC 168 - Weidman vs. Silva 2,28th Dec 2013,Josh Barnett,1.74,Travis Browne,2.35,Underdog
UFC 168 - Weidman vs. Silva 2,28th Dec 2013,Jim Miller,1.26,Fabricio Camoes,4.76,Favourite
UFC 168 - Weidman vs. Silva 2,28th Dec 2013,Dustin Poirier,1.46,Diego Brandao,3.2,Favourite
UFC 168 - Weidman vs. Silva 2,28th Dec 2013,Urijah Hall,1.38,Chris Leben,3.96,Favourite
UFC 168 - Weidman vs. Silva 2,28th Dec 2013,Michael Johnson,1.71,Gleison Tibau,2.35,Favourite
UFC 168 - Weidman vs. Silva 2,28th Dec 2013,Dennis Siver,1.35,Manny Gamburyan,3.86,Favourite
UFC 168 - Weidman vs. Silva 2,28th Dec 2013,Siyar Bahadurzada,1.69,John Howard,2.4,Underdog
UFC 168 - Weidman vs. Silva 2,28th Dec 2013,Bobby Voelker,1.77,William Macario,2.25,Underdog
UFC 168 - Weidman vs. Silva 2,28th Dec 2013,Robbie Peralta,1.61,Estevan Payan,2.65,Favourite
UFC Fight Night 34 - Saffiedine vs. Lim,4th Jan 2014,Tarec Saffiedine,1.47,Hyun Gyu Lim,3.11,Favourite
UFC Fight Night 34 - Saffiedine vs. Lim,4th Jan 2014,Tatsuya Kawajiri,1.98,Sean Soriano,2.3,Favourite
UFC Fight Night 34 - Saffiedine vs. Lim,4th Jan 2014,Luiz Dutra,1.67,Kiichi Kunimoto,2.45,Underdog
UFC Fight Night 34 - Saffiedine vs. Lim,4th Jan 2014,Kyung Ho Kang,1.33,Shunichi Shimizu,3.95,Favourite
UFC Fight Night 34 - Saffiedine vs. Lim,4th Jan 2014,Max Holloway,1.43,Will Chope,3.46,Favourite
UFC Fight Night 34 - Saffiedine vs. Lim,4th Jan 2014,Katsunori Kikuno,1.61,Quinn Mulhern,2.7,Favourite
UFC Fight Night 34 - Saffiedine vs. Lim,4th Jan 2014,Dave Galera,1.57,Royston Wee,2.75,Underdog
UFC Fight Night 34 - Saffiedine vs. Lim,4th Jan 2014,Mairbek Taisumov,1.31,Tae Hyun Bang,4.2,Favourite
UFC Fight Night 34 - Saffiedine vs. Lim,4th Jan 2014,Dustin Kimura,1.36,Jon delos Reyes,4.25,Favourite
UFC Fight Night 34 - Saffiedine vs. Lim,4th Jan 2014,Leandro Issa,1.83,Russell Doane,2.15,Underdog
UFC Fight Night 35 - Rockhold vs. Philippou,15th Jan 2014,Luke Rockhold,1.29,Costas Philippou,4.6,Favourite
UFC Fight Night 35 - Rockhold vs. Philippou,15th Jan 2014,Lorenz Larkin,1.43,Brad Tavares,3.4,Underdog
UFC Fight Night 35 - Rockhold vs. Philippou,15th Jan 2014,T.J. Dillashaw,1.36,Mike Easton,3.79,Favourite
UFC Fight Night 35 - Rockhold vs. Philippou,15th Jan 2014,Yoel Romero,1.51,Derek Brunson,3.14,Favourite
UFC Fight Night 35 - Rockhold vs. Philippou,15th Jan 2014,John Moraga,1.48,Dustin Ortiz,3.59,Favourite
UFC Fight Night 35 - Rockhold vs. Philippou,15th Jan 2014,Cole Miller,1.87,Sam Sicilia,2.24,Favourite
UFC Fight Night 35 - Rockhold vs. Philippou,15th Jan 2014,Ramsey Nijem,1.69,Justin Edwards,2.5,Favourite
UFC Fight Night 35 - Rockhold vs. Philippou,15th Jan 2014,Elias Silverio,1.65,Isaac Vallie-Flagg,2.65,Favourite
UFC Fight Night 35 - Rockhold vs. Philippou,15th Jan 2014,Brian Houston,1.77,Trevor Smith,2.28,Underdog
UFC Fight Night 35 - Rockhold vs. Philippou,15th Jan 2014,Alptekin Ozkilic,1.37,Louis Smolka,3.75,Underdog
UFC Fight Night 35 - Rockhold vs. Philippou,15th Jan 2014,Vinc Pichel,1.68,Garett Whiteley,2.4,Favourite
UFC Fight Night 35 - Rockhold vs. Philippou,15th Jan 2014,Charlie Brenneman,1.61,Beneil Dariush,2.85,Underdog
UFC on Fox 10 - Henderson vs. Thomson,25th Jan 2014,Benson Henderson,1.36,Josh Thomson,3.8,Favourite
UFC on Fox 10 - Henderson vs. Thomson,25th Jan 2014,Stipe Miocic,1.4,Gabriel Gonzaga,3.6,Favourite
UFC on Fox 10 - Henderson vs. Thomson,25th Jan 2014,Donald Cerrone,1.59,Adriano Martins,2.62,Favourite
UFC on Fox 10 - Henderson vs. Thomson,25th Jan 2014,Jeremy Stephens,1.88,Darren Elkins,2.15,Favourite
UFC on Fox 10 - Henderson vs. Thomson,25th Jan 2014,Sergio Pettis,1.54,Alex Caceres,2.9,Underdog
UFC on Fox 10 - Henderson vs. Thomson,25th Jan 2014,Eddie Wineland,1.24,Yves Jabouin,5.26,Favourite
UFC on Fox 10 - Henderson vs. Thomson,25th Jan 2014,Chico Camus,1.54,Yaotzin Meza,2.8,Favourite
UFC on Fox 10 - Henderson vs. Thomson,25th Jan 2014,Hugo Viana,1.31,Ramiro Hernandez,3.93,Favourite
UFC on Fox 10 - Henderson vs. Thomson,25th Jan 2014,Daron Cruickshank,1.43,Mike Rio,3.25,Favourite
UFC on Fox 10 - Henderson vs. Thomson,25th Jan 2014,Mike Rhodes,1.4,George Sullivan,3.55,Underdog
UFC on Fox 10 - Henderson vs. Thomson,25th Jan 2014,Walt Harris,1.25,Nikita Krylov,4.55,Underdog
UFC 169 - Barao vs. Faber 2,1st Feb 2014,Renan Barao,1.3,Urijah Faber,4.05,Favourite
UFC 169 - Barao vs. Faber 2,1st Feb 2014,Jose Aldo,1.15,Ricardo Lamas,7.01,Favourite
UFC 169 - Barao vs. Faber 2,1st Feb 2014,Alistair Overeem,1.26,Frank Mir,4.75,Favourite
UFC 169 - Barao vs. Faber 2,1st Feb 2014,Ali Bagautinov,1.69,John Lineker,2.44,Favourite
UFC 169 - Barao vs. Faber 2,1st Feb 2014,Jamie Varner,1.87,Abel Trujillo,2.1,Underdog
UFC 169 - Barao vs. Faber 2,1st Feb 2014,John Makdessi,1.8,Alan Patrick,2.4,Underdog
UFC 169 - Barao vs. Faber 2,1st Feb 2014,Chris Cariaso,1.61,Danny Martinez,2.71,Favourite
UFC 169 - Barao vs. Faber 2,1st Feb 2014,Tom Watson,1.83,Nick Catone,2.6,Underdog
UFC 169 - Barao vs. Faber 2,1st Feb 2014,Al Iaquinta,1.67,Kevin Lee,3.1,Favourite
UFC 169 - Barao vs. Faber 2,1st Feb 2014,Clint Hester,1.57,Andy Enz,2.9,Favourite
UFC 169 - Barao vs. Faber 2,1st Feb 2014,Rashid Magomedov,1.71,Tony Martin,3.2,Favourite
UFC 169 - Barao vs. Faber 2,1st Feb 2014,Gasan Umalatov,1.69,Neil Magny,2.65,Underdog
UFC Fight Night 36 - Machida vs. Mousasi,15th Feb 2014,Lyoto Machida,1.5,Gegard Mousasi,3.0,Favourite
UFC Fight Night 36 - Machida vs. Mousasi,15th Feb 2014,Ronaldo Souza,1.21,Francis Carmont,5.5,Favourite
UFC Fight Night 36 - Machida vs. Mousasi,15th Feb 2014,Erick Silva,1.09,Takenori Sato,10.01,Favourite
UFC Fight Night 36 - Machida vs. Mousasi,15th Feb 2014,Viscardi Andrade,1.74,Nico Musoke,2.31,Underdog
UFC Fight Night 36 - Machida vs. Mousasi,15th Feb 2014,Charles Oliveira,1.14,Andy Ogle,7.38,Favourite
UFC Fight Night 36 - Machida vs. Mousasi,15th Feb 2014,Joe Proctor,1.43,Cristiano Marcello,3.3,Favourite
UFC Fight Night 36 - Machida vs. Mousasi,15th Feb 2014,Ivan Jorge,1.68,Rodrigo Damm,2.55,Underdog
UFC Fight Night 36 - Machida vs. Mousasi,15th Feb 2014,Francisco Trinaldo,1.65,Jesse Ronson,2.55,Favourite
UFC Fight Night 36 - Machida vs. Mousasi,15th Feb 2014,Yuri Alcantara,1.48,Wilson Reis,3.2,Favourite
UFC Fight Night 36 - Machida vs. Mousasi,15th Feb 2014,Felipe Arantes,2.0,Maximo Blanco,2.2,Favourite
UFC Fight Night 36 - Machida vs. Mousasi,15th Feb 2014,Albert Tumenov,1.48,Ildemar Alcantara,3.05,Underdog
UFC Fight Night 36 - Machida vs. Mousasi,15th Feb 2014,Zubaira Tukhugov,1.95,Douglas Silva de Andrade,2.04,Favourite
UFC Fight Night 38 - Shogun vs. Henderson 2,23rd Mar 2014,Mauricio Rua,1.65,Dan Henderson,2.55,Underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,23rd Mar 2014,Cezar Ferreira,1.3,C.B. Dollaway,4.58,Underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,23rd Mar 2014,Norman Parke,1.36,Leonardo Santos,3.95,Draw
UFC Fight Night 38 - Shogun vs. Henderson 2,23rd Mar 2014,Gian Villante,1.57,Fabio Maldonado,3.85,Underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,23rd Mar 2014,Mairbek Taisumov,1.32,Michel Prazeres,3.85,Underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,23rd Mar 2014,Rony Jason,1.56,Steven Siler,2.7,Favourite
UFC Fight Night 38 - Shogun vs. Henderson 2,23rd Mar 2014,Ronny Markes,1.13,Thiago Santos,7.6,Underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,23rd Mar 2014,Scott Jorgensen,1.54,Jussier Formiga,2.75,Underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,23rd Mar 2014,Thiago de Oliveira Perpetuo,1.77,Kenny Robertson,2.27,Underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,23rd Mar 2014,Francimar Barroso,1.77,Hans Stringer,2.27,Underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,23rd Mar 2014,Noad Lahat,1.36,Godofredo Pepey,3.85,Underdog
UFC - The Ultimate Fighter Nations Finale,16th Apr 2014,Michael Bisping,1.5,Tim Kennedy,2.85,Underdog
UFC - The Ultimate Fighter Nations Finale,16th Apr 2014,Kyle Noke,1.52,Patrick Cote,2.85,Underdog
UFC - The Ultimate Fighter Nations Finale,16th Apr 2014,Elias Theodorou,1.57,Sheldon Westcott,2.81,Favourite
UFC - The Ultimate Fighter Nations Finale,16th Apr 2014,Olivier Aubin-Mercier,1.67,Chad Laprise,2.45,Underdog
UFC - The Ultimate Fighter Nations Finale,16th Apr 2014,Dustin Poirier,1.1,Akira Corassani,9.5,Favourite
UFC - The Ultimate Fighter Nations Finale,16th Apr 2014,Sam Stout,1.99,K.J. Noons,2.04,Underdog
UFC - The Ultimate Fighter Nations Finale,16th Apr 2014,Sarah Kaufman,1.4,Leslie Smith,3.45,Favourite
UFC - The Ultimate Fighter Nations Finale,16th Apr 2014,Ryan Jimmo,1.17,Sean O'Connell,7.15,Favourite
UFC - The Ultimate Fighter Nations Finale,16th Apr 2014,George Roop,1.71,Dustin Kimura,2.51,Favourite
UFC - The Ultimate Fighter Nations Finale,16th Apr 2014,Mark Bocek,1.16,Mike de la Torre,6.7,Favourite
UFC - The Ultimate Fighter Nations Finale,16th Apr 2014,Nordine Taleb,1.43,Vik Grujic,3.18,Favourite
UFC - The Ultimate Fighter Nations Finale,16th Apr 2014,Richard Walsh,1.44,Chris Indich,3.17,Favourite
UFC - The Ultimate Fighter Nations Finale,16th Apr 2014,Mitch Gagnon,1.32,Tim Gorman,3.9,Favourite
UFC on Fox 11 - Werdum vs. Browne,19th Apr 2014,Travis Browne,1.45,Fabricio Werdum,3.15,Underdog
UFC on Fox 11 - Werdum vs. Browne,19th Apr 2014,Miesha Tate,1.56,Liz Carmouche,2.81,Favourite
UFC on Fox 11 - Werdum vs. Browne,19th Apr 2014,Edson Barboza,1.71,Donald Cerrone,2.62,Underdog
UFC on Fox 11 - Werdum vs. Browne,19th Apr 2014,Brad Tavares,1.72,Yoel Romero,2.36,Underdog
UFC on Fox 11 - Werdum vs. Browne,19th Apr 2014,Khabib Nurmagomedov,1.36,Rafael dos Anjos,3.75,Favourite
UFC on Fox 11 - Werdum vs. Browne,19th Apr 2014,Thiago Alves,1.24,Seth Baczynski,5.23,Favourite
UFC on Fox 11 - Werdum vs. Browne,19th Apr 2014,Jorge Masvidal,1.38,Pat Healy,3.48,Favourite
UFC on Fox 11 - Werdum vs. Browne,19th Apr 2014,Estevan Payan,1.87,Alex White,2.3,Underdog
UFC on Fox 11 - Werdum vs. Browne,19th Apr 2014,Caio Magalhaes,1.35,Luke Zachrich,3.86,Favourite
UFC on Fox 11 - Werdum vs. Browne,19th Apr 2014,Jordan Mein,1.24,Hernani Perpetuo,4.75,Favourite
UFC on Fox 11 - Werdum vs. Browne,19th Apr 2014,Dustin Ortiz,1.67,Ray Borg,2.5,Favourite
UFC on Fox 11 - Werdum vs. Browne,19th Apr 2014,Mirsad Bektic,1.74,Chas Skelly,2.3,Favourite
UFC on Fox 11 - Werdum vs. Browne,19th Apr 2014,Derrick Lewis,1.34,Jack May,3.6,Favourite
UFC 172 - Jones vs. Teixeira,26th Apr 2014,Jon Jones,1.24,Glover Teixeira,5.05,Favourite
UFC 172 - Jones vs. Teixeira,26th Apr 2014,Phil Davis,1.47,Anthony Johnson,3.2,Underdog
UFC 172 - Jones vs. Teixeira,26th Apr 2014,Luke Rockhold,1.14,Tim Boetsch,9.0,Favourite
UFC 172 - Jones vs. Teixeira,26th Apr 2014,Jim Miller,1.65,Yancy Medeiros,2.8,Favourite
UFC 172 - Jones vs. Teixeira,26th Apr 2014,Andre Fili,1.77,Max Holloway,2.25,Underdog
UFC 172 - Jones vs. Teixeira,26th Apr 2014,Joseph Benavidez,1.24,Tim Elliott,5.0,Favourite
UFC 172 - Jones vs. Teixeira,26th Apr 2014,Takanori Gomi,1.67,Isaac Vallie-Flagg,2.53,Favourite
UFC 172 - Jones vs. Teixeira,26th Apr 2014,Jessamyn Duke,1.83,Bethe Correia,2.25,Underdog
UFC 172 - Jones vs. Teixeira,26th Apr 2014,Danny Castillo,1.29,Charlie Brenneman,4.2,Favourite
UFC 172 - Jones vs. Teixeira,26th Apr 2014,Chris Beal,1.91,Patrick Williams,2.21,Favourite
UFC Fight Night 40 - Brown vs. Silva,10th May 2014,Erick Silva,1.56,Matt Brown,3.1,Underdog
UFC Fight Night 40 - Brown vs. Silva,10th May 2014,Lorenz Larkin,1.64,Costas Philippou,3.25,Underdog
UFC Fight Night 40 - Brown vs. Silva,10th May 2014,Erik Koch,1.34,Daron Cruickshank,4.05,Underdog
UFC Fight Night 40 - Brown vs. Silva,10th May 2014,Neil Magny,1.36,Tim Means,3.85,Favourite
UFC Fight Night 40 - Brown vs. Silva,10th May 2014,Soa Palelei,1.33,Ruan Potts,3.95,Favourite
